Repository,CommitID,Message,Date
Advent-of-Code-2024,2a7b82b84658a0456a185641d90839bfcb029560,add code and data missing for Day 2,2024-12-23 18:00:00+00:00
Advent-of-Code-2024,4fa8350f34395a8b26fc1f7718b099e6b4c90454,add code and data missing for Day 2,2024-12-23 17:59:29+00:00
Advent-of-Code-2024,00c5de733c5c4bef05b8fa5a6a90f2c15a1b971e,adding code files in Day 6,2024-12-21 17:01:45+00:00
Advent-of-Code-2024,04003e02116953fa3b16dc7a6bce2e35a253ad2b,add data for Day 5,2024-12-20 15:45:25+00:00
Advent-of-Code-2024,0e4d4eab91203d111d49e708411af181a75dd91f,add data for day 4,2024-12-19 15:37:39+00:00
Automated-EMI-Reminder-System,59c4ec9afb0e57f216e134f3e9e0bb8cfb9870cc,add presentation to repo,2024-12-16 03:34:44+00:00
Advent-of-Code-2024,09ce6f141ae3ff0efc876b14f05b10eab756c893,Create Day 16 folder,2024-12-16 03:32:44+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,83cacb4d1e0e79f1d44efa559b39b8c3ca8f38fb,Update results table in README.md,2024-12-16 03:23:08+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,e465f624a1cbe67b6be9b0cef32b8d9808168647,add tools in README.md,2024-12-16 03:20:10+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,11f04ea839f4dee49f00e945f4bf52aeafa3435a,add details to project overview,2024-12-16 03:13:08+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,969360316ebee35783b49018e41450dea9bdf3ca,Update title in markdown,2024-12-16 03:07:48+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,acb7fe74b6558dadf10f445d9c81d7968a84f68e,Add project details to README.md,2024-12-16 03:05:42+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,399fe09491c0a7ca16341daf6893ec5aab53d655,Change path to Resources/Presentation.pdf,2024-12-16 03:01:40+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,6e43148a6c79a90b56ff90c1e9d03ed491f90e95,adding presentation slides,2024-12-16 03:00:39+00:00
Carbon-Footprint-Monitoring-in-AI-Driven-Legal-Research,afc1438b0ab65529a89f799c9f9cba564f248cd3,adding and merging files,2024-12-16 02:56:23+00:00
JeninaAngelin,e52c0d9287486ab771cfdc1161bc0f83dead447c,Update github profile,2024-12-15 18:00:53+00:00
Advent-of-Code-2024,aa110c85fb99704eb73770b58d450dd6ef3dd7e7,Create Day 12 folder,2024-12-12 17:45:17+00:00
Advent-of-Code-2024,c2efa56fa42af4324dee5ba263d0ae64df636c3e,Create Day 7 folder,2024-12-11 15:58:15+00:00
Advent-of-Code-2024,1e29c2d27ceaacb8b1616240b68bb24c13319b05,adding code files and data,2024-12-10 16:13:02+00:00
Advent-of-Code-2024,090b3d3cf5036fc974029edfde92576f6a44bc7a,Create Day 6 folder,2024-12-09 16:09:59+00:00
